symbol,tier,listing_days,r2_btc,beta_btc,realized_vol_annual,kurt_trimmed
GMXUSDT,trend,1093,0.37105142132525193,1.1740883223364111,0.9011731354556902,4.164722553231981
GOATUSDT,trend,568,0.2506655831421994,1.7984928752884415,1.6454542030625146,5.905911899274542
GOOGLUSDT,junk,261,0.05923519543858227,0.17815038821514328,0.3341461352097391,7.234096214221884
GPSUSDT,trend,450,0.06065653595189828,0.8019518928054631,1.4725576378984666,7.005254145733593
GRASSUSDT,trend,563,0.18003043702442093,1.4668657015915925,1.585764891897205,4.885980090642093
GRIFFAINUSDT,trend,497,0.27429903009753037,2.234368205533338,1.9067095775303282,4.242068374787588
GRTUSDT,trend,1093,0.45082602931864213,1.3491888259269544,0.9394912986025852,4.115536658756714
GUNUSDT,trend,409,0.10166234244386815,1.1926042018121275,1.6135743086351102,6.735137186911117
GUSDT,trend,637,0.2977935816590874,1.1291929440661495,0.9389430987496845,4.003984720618774
GWEIUSDT,junk,105,0.0008457492577431694,-0.10182794122707875,1.9408464760694808,4.623694094224723
HAEDALUSDT,whale,380,0.18365406701409498,1.4677326094504364,1.4389835510547941,10.504418857252931
HBARUSDT,trend,1093,0.25131543434186543,1.146721153514013,1.0694802311518774,8.058872494515176
HFTUSDT,junk,317,0.16585238370011832,1.1038151180380575,1.178080508568041,5.191344024388609
HIVEUSDT,trend,507,0.294525215611851,1.0808347708002157,0.8885683456710125,5.796653778263969
HOLOUSDT,junk,245,0.3114383641208772,1.3705579853201977,1.1454612522033871,4.947771770714836
HOMEUSDT,junk,338,0.14937974348674837,0.8087184934236674,0.8927273918936264,3.96423395180566
HOODUSDT,junk,260,0.3775053023274472,0.9759411753815918,0.726477293165248,5.690781114745754
HOTUSDT,trend,1093,0.3920810853385931,1.2089795023007204,0.9027250826308902,4.678472596185494
HUMAUSDT,junk,353,0.12158594696429169,1.0736796616210684,1.3031705752475042,5.0335384453331065
HUSDT,junk,323,0.025081163046352436,1.3710831480701229,3.7323356720018444,28.504282399217555
HYPERUSDT,trend,387,0.056579056726072774,2.2540600321578887,3.949587756475393,5.6484201449149785
HYPEUSDT,trend,511,0.293208162048424,1.270302870635025,1.0435171467715827,3.772702547492831
ICNTUSDT,junk,315,0.05029310489026313,0.8249238742835647,1.5990145439545946,4.268489713406541
ICPUSDT,trend,1093,0.283817894039153,1.1364145977960705,0.9973358608528007,6.384047521526712
ICXUSDT,trend,1093,0.4178515925527463,1.1343118717414595,0.8204383725589569,4.27592378669815
IDOLUSDT,junk,337,0.02273863635885832,0.5481592089815653,1.5523381634141502,5.4806569355656105
IDUSDT,trend,1093,0.25172625942647014,1.1898709913755043,1.1088176577936388,4.2082485614679115
ILVUSDT,junk,281,0.3639293829239174,1.2737413468308125,0.9539936429573721,5.954733010629719
IMXUSDT,trend,1093,0.4040326674809038,1.392987475330869,1.0246215578145217,3.9576204763273566
INDAUSDT,junk,35,0.08147035901327622,0.15889291999621977,0.18098353850130477,3.631411436923247
INFQUSDT,junk,1,,,,
INITUSDT,trend,385,0.16868080111989778,1.4737264694418564,1.4993550884774949,6.58298379443654
INJUSDT,trend,1093,0.42461271332989514,1.4382266679113276,1.0319421662462542,3.95101509595649
INTCUSDT,junk,248,0.0848220577963978,0.5174041411944519,0.825645991165636,7.0314191716438526
INUSDT,junk,280,0.04275116547668257,0.8536806720869721,1.8658106141210096,12.628606697582889
INXUSDT,junk,103,0.0014082221575228736,0.14385235327755308,2.0918553633092802,18.853270049143703
IONQUSDT,junk,22,,,,
IOSTUSDT,trend,1093,0.36488149004697085,1.0430614421797215,0.8073437602677987,4.286905672972059
IOTAUSDT,trend,1093,0.3698405193260126,1.2101201999367015,0.9303487602099527,6.008897483867963
IOTXUSDT,trend,1093,0.2987987867240572,1.1860460051329424,1.0144639956672192,4.962141678604263
IOUSDT,trend,702,0.42052862441749334,1.7793604710000173,1.2726009442927777,4.357991867602919
IPUSDT,trend,455,0.12511038416811002,1.372539344019247,1.7462771860237034,7.896891152078812
IRYSUSDT,junk,168,0.016344215664065187,0.4341498950140182,1.6658188216947187,3.366753514167111
JASMYUSDT,trend,1093,0.3100843685622352,1.3965813091790265,1.172602474735366,7.398142806958048
JCTUSDT,junk,184,0.01464247137842998,0.5359029902968536,2.1644672251336976,11.848147793340091
