feature,quantile,horizon,n,mean,median,win,std
lower_wick_ratio,"(0.00233, 0.0216]",fwd_ret_4h,1263,0.002418190130757684,0.0,0.4996041171813143,0.046212473906445097
lower_wick_ratio,"(0.00233, 0.0216]",fwd_ret_24h,1262,-0.001483278827429236,-0.010365310670431449,0.4231378763866878,0.09992206618860248
lower_wick_ratio,"(0.00233, 0.0216]",fwd_ret_72h,1258,-3.0080910435402727e-05,-0.01774514995700871,0.4149443561208267,0.15533575399365374
lower_wick_ratio,"(0.00233, 0.0216]",fwd_ret_168h,1247,0.0029680723592944865,-0.0379166666666666,0.4073777064955894,0.24320062331312753
lower_wick_ratio,"(0.00233, 0.0216]",fwd_ret_336h,1214,0.020417011618083514,-0.05723774924650887,0.40362438220757824,0.3703016088449527
lower_wick_ratio,"(0.00233, 0.0216]",fwd_ret_672h,1169,0.023872148144122623,-0.09643605870020955,0.3686911890504705,0.5870747976038173
lower_wick_ratio,"(0.0216, 0.0538]",fwd_ret_4h,1262,0.0010692230457412168,-0.0011060998890581875,0.4786053882725832,0.05643976730714481
lower_wick_ratio,"(0.0216, 0.0538]",fwd_ret_24h,1261,0.0003383299475949725,-0.007337857030140449,0.44964314036478986,0.09614987242082802
lower_wick_ratio,"(0.0216, 0.0538]",fwd_ret_72h,1261,0.002089912979608839,-0.0160786065207682,0.4401268834258525,0.1628944750230518
lower_wick_ratio,"(0.0216, 0.0538]",fwd_ret_168h,1243,0.005884677323537794,-0.024741047647232728,0.4360418342719228,0.2301318195648177
lower_wick_ratio,"(0.0216, 0.0538]",fwd_ret_336h,1209,0.02706987719960792,-0.028988540631050164,0.44499586435070304,0.3295318854423311
lower_wick_ratio,"(0.0216, 0.0538]",fwd_ret_672h,1165,0.03587989163388333,-0.07775908914477947,0.38626609442060084,0.5974626719884764
lower_wick_ratio,"(0.0538, 0.108]",fwd_ret_4h,1262,0.0010085077921899185,-0.0011150054825015965,0.4754358161648177,0.04353070083645017
lower_wick_ratio,"(0.0538, 0.108]",fwd_ret_24h,1259,-0.001038456170939785,-0.010907288051561603,0.43367752184273234,0.09698895883750522
lower_wick_ratio,"(0.0538, 0.108]",fwd_ret_72h,1257,0.005054037375129044,-0.017938825026848626,0.4343675417661098,0.16624083559643318
lower_wick_ratio,"(0.0538, 0.108]",fwd_ret_168h,1238,0.01744628668129452,-0.01839333223217926,0.45638126009693053,0.251110159617689
lower_wick_ratio,"(0.0538, 0.108]",fwd_ret_336h,1201,0.04157702200868224,-0.03917467495760307,0.43713572023313907,0.375585440501234
lower_wick_ratio,"(0.0538, 0.108]",fwd_ret_672h,1161,0.026947811550323504,-0.07089319175515307,0.4099913867355728,0.47981480997771975
lower_wick_ratio,"(0.108, 0.794]",fwd_ret_4h,1263,0.0010480153877373095,0.0006001680470530957,0.5075217735550277,0.04822083522288592
lower_wick_ratio,"(0.108, 0.794]",fwd_ret_24h,1261,0.0012563870542904609,-0.00875145857642945,0.44726407613005553,0.10801400741841982
lower_wick_ratio,"(0.108, 0.794]",fwd_ret_72h,1260,0.0023953341065118673,-0.01656398529296904,0.4396825396825397,0.17026961648103975
lower_wick_ratio,"(0.108, 0.794]",fwd_ret_168h,1241,0.007958307174977456,-0.02555768946668635,0.4262691377921031,0.27029735274101224
lower_wick_ratio,"(0.108, 0.794]",fwd_ret_336h,1198,0.030999465621703005,-0.04620311645563602,0.42237061769616024,0.4040954775644069
lower_wick_ratio,"(0.108, 0.794]",fwd_ret_672h,1144,0.03259156249531204,-0.09400042524508134,0.3732517482517482,0.5938632061669985
body_to_range,"(0.0753, 0.615]",fwd_ret_4h,1262,-0.0017794739578576803,-0.0008494741356315227,0.48335974643423135,0.05016250297241122
body_to_range,"(0.0753, 0.615]",fwd_ret_24h,1259,-0.0041233729218361406,-0.011889790785412191,0.420174741858618,0.1096054814523957
body_to_range,"(0.0753, 0.615]",fwd_ret_72h,1259,-0.004498696364290251,-0.01963308657869345,0.4233518665607625,0.17121093796252781
body_to_range,"(0.0753, 0.615]",fwd_ret_168h,1242,0.00014864161114262327,-0.03329154390220557,0.4074074074074074,0.2605049611340449
body_to_range,"(0.0753, 0.615]",fwd_ret_336h,1205,0.02171918477367594,-0.05566444531556247,0.404149377593361,0.3626307654746983
body_to_range,"(0.0753, 0.615]",fwd_ret_672h,1159,0.02053321269720048,-0.09763432237369685,0.36755823986194996,0.5849046236464653
body_to_range,"(0.615, 0.732]",fwd_ret_4h,1263,0.001414409805921333,-0.000892060660124927,0.4821852731591449,0.0430385533851258
body_to_range,"(0.615, 0.732]",fwd_ret_24h,1261,-0.0019009335575934354,-0.013556232734314833,0.422680412371134,0.10214167047366475
body_to_range,"(0.615, 0.732]",fwd_ret_72h,1261,0.0017733860523459996,-0.02043596730245234,0.4290245836637589,0.16153908515086762
