Symbol,entry_date,entry_close,exit_date,exit_close,bars_held,ret_pct,exit_reason,Name,entry_month
094800,2026-03-25,6830,2026-04-01,7000,5,2.489019033674955,STOP,맵스리얼티,2026-03
094800,2026-04-02,6900,2026-04-03,7000,1,1.449275362318847,STOP,맵스리얼티,2026-04
094800,2026-04-06,6980,2026-04-20,7100,10,1.7191977077363862,TIMEOUT,맵스리얼티,2026-04
095570,2025-09-10,4350,2025-09-16,4300,4,-1.1494252873563204,STOP,AJ네트웍스,2025-09
095570,2025-09-22,4425,2025-09-25,4325,3,-2.259887005649719,STOP,AJ네트웍스,2025-09
095570,2025-10-28,4405,2025-11-07,4255,8,-3.4052213393870656,STOP,AJ네트웍스,2025-10
095570,2025-11-10,4455,2025-11-24,4705,10,5.611672278338942,TIMEOUT,AJ네트웍스,2025-11
095570,2025-12-11,4730,2025-12-16,4670,3,-1.2684989429175508,STOP,AJ네트웍스,2025-12
095570,2026-01-29,4985,2026-01-30,5280,1,5.917753259779346,T_star,AJ네트웍스,2026-01
095570,2026-03-24,5110,2026-04-07,5130,10,0.391389432485334,TIMEOUT,AJ네트웍스,2026-03
095570,2026-04-10,5130,2026-04-13,5070,1,-1.1695906432748537,STOP,AJ네트웍스,2026-04
095570,2026-04-14,5130,2026-04-15,5080,1,-0.974658869395717,STOP,AJ네트웍스,2026-04
095570,2026-04-27,5240,2026-05-04,5090,4,-2.8625954198473247,STOP,AJ네트웍스,2026-04
096760,2025-09-10,3390,2025-09-17,3335,5,-1.6224188790560423,STOP,JW홀딩스,2025-09
096760,2026-01-23,3705,2026-02-06,4080,10,10.121457489878537,TIMEOUT,JW홀딩스,2026-01
096760,2026-03-23,4325,2026-03-31,3955,6,-8.554913294797684,STOP,JW홀딩스,2026-03
096760,2026-04-21,4205,2026-05-06,4085,9,-2.85374554102259,STOP,JW홀딩스,2026-04
096770,2025-09-12,107900,2025-09-19,104000,5,-3.6144578313253017,STOP,SK이노베이션,2025-09
096770,2025-10-17,116600,2025-10-31,128900,10,10.548885077186965,TIMEOUT,SK이노베이션,2025-10
096770,2026-04-06,123200,2026-04-20,128800,10,4.545454545454541,TIMEOUT,SK이노베이션,2026-04
096775,2025-09-11,71600,2025-09-16,69800,3,-2.5139664804469275,STOP,SK이노베이션우,2025-09
096775,2025-09-18,70100,2025-09-19,69500,1,-0.8559201141226769,STOP,SK이노베이션우,2025-09
096775,2025-11-12,82500,2025-11-18,76800,4,-6.909090909090909,STOP,SK이노베이션우,2025-11
096775,2025-12-15,77200,2025-12-16,75500,1,-2.2020725388601003,STOP,SK이노베이션우,2025-12
096775,2026-01-23,71800,2026-02-02,68600,6,-4.456824512534818,STOP,SK이노베이션우,2026-01
096775,2026-04-20,73400,2026-05-06,79100,10,7.765667574931889,TIMEOUT,SK이노베이션우,2026-04
097230,2025-10-28,29900,2025-11-04,26550,5,-11.204013377926426,STOP,HJ중공업,2025-10
097230,2025-12-09,22700,2025-12-12,24200,3,6.607929515418509,T_star,HJ중공업,2025-12
097230,2025-12-18,22000,2025-12-22,21650,2,-1.5909090909090873,STOP,HJ중공업,2025-12
097230,2025-12-23,22850,2025-12-26,21700,2,-5.0328227571115995,STOP,HJ중공업,2025-12
097230,2026-02-27,25300,2026-03-03,23350,1,-7.707509881422925,STOP,HJ중공업,2026-02
097230,2026-03-18,27600,2026-03-27,24550,7,-11.050724637681164,STOP,HJ중공업,2026-03
