eval_date,bucket,Symbol,Name,tf,angle_deg,residence_20,next_ret_pct
2026-05-20,B,085620,미래에셋생명,1W,1.5249183476828176,1.0,2.0322354590049057
2026-05-20,A,001780,알루코,1W,0.81336797621854,0.85,4.338842975206612
2026-05-20,B,259960,크래프톤,1W,0.2876751366610293,0.4,-2.824858757062147
2026-05-20,A,012030,DB,1W,0.8718656243520676,0.85,6.574761399787911
2026-05-20,B,003720,삼영,1W,1.9670021036361949,0.9,2.091633466135458
2026-05-20,B,417310,코람코더원리츠,1W,0.5852146562586247,1.0,0.7874015748031495
2026-05-20,A,012800,대창,1W,0.6907577752761985,0.95,2.97225891677675
2026-05-20,B,018880,한온시스템,1W,0.959046819089689,0.85,11.021814006888633
2026-05-20,B,055490,테이팩스,1W,0.8085053938082101,0.65,-0.054614964500273
2026-05-20,B,012630,HDC,1M,2.784432488498193,1.0,3.4013605442176877
2026-05-20,B,006800,미래에셋증권,1W,2.704376848643417,1.0,7.258064516129033
2026-05-20,B,00279K,아모레퍼시픽홀딩스3우C,1M,0.24173146168208906,0.65,0.0
2026-05-20,A,078935,GS우,1W,0.4942680568901065,1.0,0.7168458781362007
2026-05-20,B,058430,포스코스틸리온,1W,2.076325362607584,0.95,5.383360522022838
2026-05-20,A,010960,삼호개발,1M,0.31599300238924405,0.7,-1.5827338129496402
2026-05-20,A,001940,KISCO홀딩스,1Q,1.5668296666160209,0.9,-0.6550218340611353
2026-05-20,A,009835,한화솔루션우,1M,0.38482870505227396,0.65,2.178649237472767
2026-05-20,B,003530,한화투자증권,1M,2.4344400799196966,0.95,7.165605095541401
2026-05-20,A,009420,한올바이오파마,1M,1.2857815709569738,0.65,29.846938775510207
2026-05-20,B,100840,SNT에너지,1M,3.23857248302578,1.0,6.112469437652812
2026-05-20,B,006400,삼성SDI,1W,2.7332263404092108,1.0,8.070175438596491
2026-05-20,A,013700,까뮤이앤씨,1W,0.3632990838262098,1.0,0.0
2026-05-20,A,016740,두올,1W,0.7198083626223126,1.0,0.0
2026-05-20,A,011700,한신기계,1M,0.12224612577054376,0.3,4.49438202247191
2026-05-20,B,210540,디와이파워,1M,0.17352668559866433,0.5,2.674591381872214
2026-05-20,B,036460,한국가스공사,1Q,0.6625037712154174,0.45,2.0242914979757085
2026-05-20,B,017940,E1,1M,0.8886648470647864,0.85,3.9458850056369785
2026-05-20,A,005690,파미셀,1M,2.9494792930909965,0.9,4.296100462656973
2026-05-20,A,084010,대한제강,1Q,0.6787382367010109,0.8,-1.7733990147783252
2026-05-20,A,000155,두산우,1W,0.7209786296075889,0.7,14.835164835164836
2026-05-20,B,000390,SP삼화,1M,0.3056094200824555,0.35,2.14190093708166
2026-05-20,A,092200,디아이씨,1Q,2.9577284765195295,0.65,19.22455573505654
2026-05-20,B,33626L,두산퓨얼셀2우B,1W,0.2547085683506335,0.25,5.004468275245755
2026-05-20,B,448730,삼성FN리츠,1M,0.2782002503761034,0.3,-1.1787819253438114
