symbol,last_close,today_chg,today_amount,vol_ratio_1d,ch_score,ret_30d,ret_90d,from_high_1y,has_1h,ch_pct,거래대금,today_chg_str,vol_x
SKYAIUSDT,0.27537,-0.16186273017805508,11540648.20422,0.6328834426527565,0.0,0.40258748026282287,6.053534836065574,-0.6248160662706415,True,0.0,$11.5M,-16.19%,0.6
AVNTUSDT,0.15352,0.013600950746071483,405560.38535999996,0.7992201490596799,-1.0,0.03729729729729736,-0.13231221386989211,-0.9349119199542111,True,-0.9,$406K,1.36%,0.8
DOGSUSDT,5.253e-05,0.035073891625615694,3160069.635057,0.29093365234324414,-2.0,0.6415625,1.0126436781609196,-0.6334263782274947,True,-1.7,$3.2M,3.51%,0.3
MANTAUSDT,0.07714,-0.010137302707558082,384779.03325399995,0.6320584565256047,-3.0,0.20965971459934152,0.2188339390109022,-0.6548545861297539,True,-2.6,$385K,-1.01%,0.6
DIAUSDT,0.1798,0.009545199326220999,23165.791599999997,0.04377360164938708,-4.0,-0.08030690537084406,0.04962054874489197,-0.7528182568050592,True,-3.5,$23K,0.95%,0.0
JDUSDT,30.71,0.005237315875613824,17347.4648,0.0697351421328191,-5.0,0.014200792602377721,0.11591569767441867,,True,-4.3,$17K,0.52%,0.1
RUNEUSDT,0.4479,-0.007753655294638895,361928.95425,0.4408228658581841,-5.0,-0.07093963907902912,0.15616933402168298,-0.670903747244673,True,-4.3,$362K,-0.78%,0.4
DOGEUSDT,0.1021,-0.0011739385638819266,29037512.198599998,0.39492328545419325,-6.0,0.04247498468450073,0.11792401182524914,-0.6388525343992077,True,-5.2,$29.0M,-0.12%,0.4
SPACEUSDT,0.007541,-0.03233671243423586,578809.168442,0.30543401954317806,-6.0,0.16337550138846035,-0.1551646874299798,,True,-5.2,$579K,-3.23%,0.3
1000BONKUSDT,0.006055,0.006984866123399325,3614194.7987949997,0.7151220867177895,-6.0,-0.024331292297776308,0.05764192139737978,-0.7619328457969647,True,-5.2,$3.6M,0.7%,0.7
SUIUSDT,1.0427,0.010368217054263607,53824842.370699994,0.6647944643721644,-6.0,0.11102823654768246,0.2139946443124927,-0.7319950650285303,True,-5.2,$53.8M,1.04%,0.7
AIXBTUSDT,0.02962,0.04516584333098095,724955.74982,1.0899003245428,-6.0,0.0697002527988444,0.606290672451193,-0.7677773422187377,True,-5.2,$725K,4.52%,1.1
APPUSDT,480.15,0.009906612821807048,43823.290499999996,0.06261761814298661,-7.0,0.07181124157328433,0.2350172333967797,-0.34639677656475465,True,-6.1,$44K,0.99%,0.1
HOLOUSDT,0.0739,0.03486906595714867,149698.7866,0.17867582440091592,-8.0,0.12327101383188932,0.3710575139146566,-0.8120071228694989,True,-7.0,$150K,3.49%,0.2
ARPAUSDT,0.0109,0.004608294930875445,89223.585,0.28672510472932494,-8.0,0.09989909182643797,0.15957446808510634,-0.5404721753794266,True,-7.0,$89K,0.46%,0.3
JUPUSDT,0.2014,0.00248880039820798,1960882.5626,0.4834292606132995,-8.0,0.16685979142526075,0.3937716262975779,-0.6395848246241946,True,-7.0,$2.0M,0.25%,0.5
STORJUSDT,0.1025,-0.01819923371647525,333839.71199999994,0.10456642429960301,-8.0,0.0,0.09625668449197855,-0.6115953012504738,True,-7.0,$334K,-1.82%,0.1
