Date,삼성주가,삼성시총_조,삼성TTM순이익_조,삼성PER,하이닉스주가,하이닉스시총_조,하이닉스TTM순이익_조,하이닉스PER
2019-08-28,44150,263.5658995825,31.4695,8.375280814201052,73300,53.3625733545,9.7282,5.48534912465821
2019-08-29,43400,259.08856267,31.4695,8.233005375681214,73300,53.3625733545,9.7282,5.48534912465821
2019-08-30,44000,262.6704322,31.4695,8.346825726497084,77400,56.347383051,9.7282,5.792169471330771
2019-09-02,43800,261.47647569,31.4695,8.30888560955846,77600,56.492983524,9.7282,5.80713631750992
2019-09-03,43250,258.1930952875,31.4695,8.204550287977249,77000,56.056182105,9.7282,5.762235778972472
2019-09-04,44100,263.267410455,31.4695,8.365795784966396,80000,58.2401892,9.7282,5.986738471659712
2019-09-05,45700,272.819062535,31.4695,8.669316720475381,83000,60.424196295,9.7282,6.2112411643469505
2019-09-06,46300,276.400932065,31.4695,8.78313707129125,81900,59.6233936935,9.7282,6.12892351036163
2019-09-09,46900,279.982801595,31.4695,8.89695742210712,84300,61.3705993695,9.7282,6.3085256645114205
2019-09-10,47000,280.57977985,31.4695,8.915927480576432,83100,60.4969965315,9.7282,6.218724587436525
2019-09-11,47150,281.4752472325,31.4695,8.944382568280398,82600,60.132995349,9.7282,6.181307471988652
2019-09-16,47100,281.176758105,31.4695,8.934897539045743,79500,57.8761880175,9.7282,5.949321356211838
2019-09-17,46900,279.982801595,31.4695,8.89695742210712,79400,57.803387781,9.7282,5.9418379331222635
2019-09-18,47700,284.758627635,31.4695,9.048717889861612,80200,58.385789673,9.7282,6.00170531783886
2019-09-19,49150,293.4148123325,31.4695,9.323783737666629,82700,60.2057955855,9.7282,6.188790895078227
2019-09-20,49200,293.71330146,31.4695,9.333268766901286,82200,59.841794403,9.7282,6.151373779630354
2019-09-23,49300,294.310279715,31.4695,9.352238825370597,82800,60.278595822,9.7282,6.196274318167801
2019-09-24,49500,295.504236225,31.4695,9.39017894230922,83400,60.715397241,9.7282,6.241174856705249
2019-09-25,48900,291.922366695,31.4695,9.27635859149335,81900,59.6233936935,9.7282,6.12892351036163
2019-09-26,49200,293.71330146,31.4695,9.333268766901286,83300,60.6425970045,9.7282,6.233691433615674
2019-09-27,48400,288.93747542,31.4695,9.181508299146794,81400,59.259392511,9.7282,6.091506394913757
2019-09-30,49050,292.8178340775,31.4695,9.304813679197318,82200,59.841794403,9.7282,6.151373779630354
2019-10-01,48850,291.6238775675,31.4695,9.266873562258695,82000,59.69619393,9.7282,6.136406933451204
2019-10-02,47600,284.16164938,31.4695,9.0297478313923,79500,57.8761880175,9.7282,5.949321356211838
2019-10-04,48000,286.5495624,31.4695,9.105628065269547,80300,58.4585899095,9.7282,6.009188740928435
2019-10-07,47750,285.0571167625,31.4695,9.058202919096269,80300,58.4585899095,9.7282,6.009188740928435
2019-10-08,48900,291.922366695,31.4695,9.27635859149335,80900,58.8953913285,9.7282,6.054089279465883
2019-10-10,48550,289.8329428025,31.4695,9.20996338685076,79000,57.512186835,9.7282,5.911904240763965
2019-10-11,49150,293.4148123325,31.4695,9.323783737666629,80000,58.2401892,9.7282,5.986738471659712
2019-10-14,50000,298.4891275,31.4695,9.485029234655778,80500,58.6041903825,9.7282,6.024155587107584
2019-10-15,50100,299.086105755,31.4695,9.503999293125089,81200,59.113792038,9.7282,6.076539548734607
2019-10-16,50700,302.667975285,31.4695,9.617819643940958,82400,59.987394876,9.7282,6.166340625809503
2019-10-17,50500,301.474018775,31.4695,9.579879527002335,81000,58.968191565,9.7282,6.061572702555457
2019-10-18,49900,297.892149245,31.4695,9.466059176186466,77400,56.347383051,9.7282,5.792169471330771
